TA00020,TA00021,TA00023,TA00024,TA00025,TA00026,TA00027,TA00028,TA00029,TA00030,TA00054,TA00056,TA00057,TA00061,TA00064,TA00065,TA00066,TA00067,TA00068,TA00069,TA00070,TA00071,TA00072,TA00073,TA00074,TA00076,TA00077
3.83,0,15.45,0.63,0.12,0.06,0.34,0,0.08,10.57,1.45,0,2.19,1.92,11.81,0,0.34,21.63,0,0,0,0,0,0.05,3.06,0,6.75
0.5,0,0.93,1.37,0.36,0,14.31,1.75,0.76,1.02,0,27.56,0.32,0.06,0,0,0.66,8.09999999999999,2.31,6.15,1.4,0,0,0.04,28.31,0,0
42.54,0,0,0.14,14.31,1.12,4.32,0.45,3.16,12.75,14.24,0.02,0.52,4.57,0.04,0,25.07,0,0,0,0.2,0,0,0,1.66,0,0.33
23.24,8.8,0,0,46.81,1.1,0,0.03,1.13,47.6700000000001,6.99,0,37.71,11.16,4.75999999999999,9.03,56.83,28.51,0.62,0.43,0,0,0,0,0.06,0,1.02
0.06,1.6,0,0.02,0.14,0,0,0,0.02,21.73,0.06,0,0.08,0.06,0.04,0.18,0.14,0.3,0,0.04,0,0.8,0,0,0,0,0.06
0.08,0.2,0,0.14,0.08,0,0,0.24,0,0.16,0.02,0,0,0.16,0,0.16,0.06,0,0,0,0.4,0,0,0,0,0.02,0.14
0.04,0,0,0.08,0.02,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.06,0.02,0,0,0,0.06,0.12,0,0,0,0.02,0,0,0,0,0.12,0,0,0,0,0,0,0,0
0.02,0,0,0.06,0,0,0,0,0.12,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0,0,0.06,0.08,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
0,0,0,0.53,0.02,0,0,0,0.04,0,0.02,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
0,0,0,0,0,0,0,0.02,2.25,0.38,0,0,0,0,0,4.78,0,0,0,0,0,0,0,0,0,0,4.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,2.05,1.48,0.2,0,0,0,0,0,0
0,0,0.14,0,0,0,0,0.02,0.12,0,0,0,0,2.62,0,0.06,0,0,0,0,0,0,0,0,0,1.19,2.05
